url,relevancia
https://bonosdeapuesta.com/apuestas/cuanto-gana-un-jugador-de-futbol-sala/,1
https://cuanto.top/gana/jugador-futbol-sala/,2
https://es.calcuworld.com/cuantos/cuanto-gana-un-jugador-de-futbol/,0
https://es.quora.com/Cu%C3%A1nto-gana-o-cobra-un-jugador-de-f%C3%BAtbol-de-2B-en-Espa%C3%B1a,0
https://futboljobs.com/blog/cuanto-cobra-un-jugador-de-futbol-de-tercera-division/,0
https://futboljobs.com/pt/blog/cuanto-gana-un-jugador-de-futbol-en-espana/,0
https://sacandodebanda.com/2019/10/16/salarios-clausulas-futbol-sala/,2
https://sueldospublicos.economiadigital.es/texto-diario/mostrar/554504/salario-minimo-futbolistas-primera-segunda-division,0
https://www.abc.es/economia/20141112/abci-cuanto-cobra-futbolista-espana-201411112140.html,0
https://www.cuatro.com/deportes/futbol/cuanto-cobra-jugadora-profesional-futbol-salario-be5m_18_3057345368.html,0
https://www.cuatro.com/deportes/futbol/liga/sueldo-arbitros-primera-division-futbol-be5m_18_2961270028.html,0
https://www.culemania.com/palco/todos-salarios-deportistas-profesionales-barca_332091_102.html,0
https://www.estrelladigital.es/articulo/futbol/cuanto-gana-jugador-mas-humilde-primera/20141012204158213232.html,0
https://www.forocoches.com/foro/showthread.php?t=2757667,2
https://www.forocoches.com/foro/showthread.php?t=3524711,2
https://www.futsalcorner.es/la-columna/cifras-numeros-futsal/,1
https://www.marca.com/futbol/futbol-femenino/2019/02/08/5c5dbfe546163f4c358b45e5.html,0
https://www.merca2.es/sueldos-jugadores-futbol-sala/,1
https://www.saberia.com/cuanto-cobra-un-jugador-de-futbol-sala/,2
https://www.todoparaarbitros.com/cuanto-cobra-un-arbitro-de-futbol-sala/,0
